"Payment #","Payment date","Remaining amount","Principal payment","Interest payment","Total payment","Interest rate"
1,2017/04/10,10000.00,239.34,83.33,322.67,10
2,2017/05/10,9760.66,241.33,81.34,322.67,10
3,2017/06/10,9519.33,243.34,79.33,322.67,10
4,2017/07/10,9275.99,245.37,77.30,322.67,10
5,2017/08/10,9030.62,247.41,75.26,322.67,10
6,2017/09/10,8783.21,249.48,73.19,322.67,10
7,2017/10/10,8533.73,251.56,71.11,322.67,10
8,2017/11/10,8282.17,253.65,69.02,322.67,10
9,2017/12/10,8028.52,255.77,66.90,322.67,10
10,2018/01/10,7772.75,257.90,64.77,322.67,10
11,2018/02/10,7514.85,260.05,62.62,322.67,10
12,2018/03/10,7254.80,262.21,60.46,322.67,10
13,2018/04/10,6992.59,264.40,58.27,322.67,10
14,2018/05/10,6728.19,266.60,56.07,322.67,10
15,2018/06/10,6461.59,270.46,50.19,320.65,9.32
16,2018/07/10,6191.13,273.31,46.43,319.74,9
17,2018/08/10,5917.82,275.36,44.38,319.74,9
18,2018/09/10,5642.46,277.42,42.32,319.74,9
19,2018/10/10,5365.04,279.50,40.24,319.74,9
20,2018/11/10,5085.54,281.60,38.14,319.74,9
21,2018/12/10,4803.94,283.71,36.03,319.74,9
22,2019/01/10,4520.23,285.84,33.90,319.74,9
23,2019/02/10,4234.39,287.98,31.76,319.74,9
24,2019/03/10,3946.41,290.38,29.07,319.45,8.84
25,2019/04/10,3656.03,292.64,26.66,319.30,8.75
26,2019/05/10,3363.39,294.78,24.52,319.30,8.75
27,2019/06/10,3068.61,296.92,22.38,319.30,8.75
28,2019/07/10,2771.69,299.09,20.21,319.30,8.75
29,2019/08/10,2472.60,301.27,18.03,319.30,8.75
30,2019/09/10,2171.33,303.47,15.83,319.30,8.75
31,2019/10/10,1867.86,305.68,13.62,319.30,8.75
32,2019/11/10,1562.18,307.91,11.39,319.30,8.75
33,2019/12/10,1254.27,310.15,9.15,319.30,8.75
34,2020/01/10,944.12,312.42,6.88,319.30,8.75
35,2020/02/10,631.70,314.69,4.61,319.30,8.75
36,2020/03/10,317.01,317.01,2.31,319.32,8.75
