"Payment #","Payment date","Remaining amount","Principal payment","Interest payment","Total payment","Interest rate"
1,2017/04/15,5000,185.36,50.00,235.36,12
2,2017/05/15,4814.64,187.21,48.15,235.36,12
3,2017/06/15,4627.43,189.09,46.27,235.36,12
4,2017/07/15,4438.34,190.98,44.38,235.36,12
5,2017/08/15,4247.36,192.89,42.47,235.36,12
6,2017/09/15,4054.47,196.71,36.29,233.00,10.74
7,2017/10/15,3857.76,200.98,28.93,229.91,9
8,2017/11/15,3656.78,202.48,27.43,229.91,9
9,2017/12/15,3454.3,204,25.91,229.91,9
10,2018/01/15,3250.3,205.53,24.38,229.91,9
11,2018/02/15,3044.77,207.07,22.84,229.91,9
12,2018/03/15,2837.7,208.63,21.28,229.91,9
13,2018/04/15,2629.07,210.19,19.72,229.91,9
14,2018/05/15,2418.88,211.77,18.14,229.91,9
15,2018/06/15,2207.11,213.36,16.55,229.91,9
16,2018/07/15,1993.75,214.96,14.95,229.91,9
17,2018/08/15,1778.79,216.57,13.34,229.91,9
18,2018/09/15,1562.22,218.19,11.72,229.91,9
19,2018/10/15,1344.03,219.83,10.08,229.91,9
20,2018/11/15,1124.2,221.48,8.43,229.91,9
21,2018/12/15,902.72,223.14,6.77,229.91,9
22,2019/01/15,679.58,224.81,5.10,229.91,9
23,2019/02/15,454.77,226.5,3.41,229.91,9
24,2019/03/15,228.27,228.27,1.71,229.98,9
